route_id,end_hr,trip_headsign,buses per hour,headway by hour
1-20573,05,BOWNESS,1,60.0
1-20573,05,FOREST LAWN,1,60.0
1-20573,06,BOWNESS,5,12.0
1-20573,06,FOREST LAWN,4,15.0
1-20573,07,BOWNESS,4,15.0
1-20573,07,FOREST LAWN,5,12.0
1-20573,08,BOWNESS,5,12.0
1-20573,08,FOREST LAWN,5,12.0
1-20573,09,BOWNESS,5,12.0
1-20573,09,FOREST LAWN,5,12.0
1-20573,10,BOWNESS,3,20.0
1-20573,10,FOREST LAWN,4,15.0
1-20573,11,BOWNESS,4,15.0
1-20573,11,FOREST LAWN,3,20.0
1-20573,12,BOWNESS,3,20.0
1-20573,12,FOREST LAWN,3,20.0
1-20573,13,BOWNESS,3,20.0
1-20573,13,FOREST LAWN,3,20.0
1-20573,14,BOWNESS,3,20.0
1-20573,14,FOREST LAWN,4,15.0
1-20573,15,BOWNESS,3,20.0
1-20573,15,FOREST LAWN,3,20.0
1-20573,16,BOWNESS,4,15.0
1-20573,16,CITY CENTRE,1,60.0
1-20573,16,FOREST LAWN,4,15.0
1-20573,17,BOWNESS,5,12.0
1-20573,17,FOREST LAWN,5,12.0
1-20573,18,BOWNESS,5,12.0
1-20573,18,FOREST LAWN,6,10.0
1-20573,19,BOWNESS,6,10.0
1-20573,19,FOREST LAWN,5,12.0
1-20573,20,BOWNESS,3,20.0
1-20573,20,FOREST LAWN,2,30.0
1-20573,21,BOWNESS,2,30.0
1-20573,21,FOREST LAWN,3,20.0
1-20573,22,BOWNESS,3,20.0
1-20573,22,FOREST LAWN,3,20.0
1-20573,23,BOWNESS,2,30.0
1-20573,23,FOREST LAWN,2,30.0
1-20573,24,BOWNESS,2,30.0
1-20573,24,CITY CENTRE,2,30.0
1-20573,24,FOREST LAWN,2,30.0
10-20573,06,CITY HALL,2,30.0
10-20573,07,CITY HALL,2,30.0
10-20573,07,SOUTHCENTRE,2,30.0
10-20573,08,CITY HALL,3,20.0
10-20573,08,SOUTHCENTRE,2,30.0
10-20573,09,CITY HALL,2,30.0
10-20573,09,SOUTHCENTRE,2,30.0
10-20573,10,CITY HALL,2,30.0
