route_id,operating_mins,trip_count,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
118-20573,1412.0,52,118,Hidden Valley,,3,,,
119-20573,298.0,10,119,Freeport,,3,,,
120-20573,1542.0,94,120,North Silver Springs,,3,,,
123-20573,2953.0,86,123,Sage Hill / North Pointe,,3,,,
124-20573,1579.0,88,124,Evanston,,3,,,
125-20573,1006.0,38,125,Cedarbrae,,3,,,
126-20573,1175.0,44,126,Braeside,,3,,,
127-20573,1788.0,72,127,Maryvale/ Franklin Industrial,,3,,,
128-20573,940.0,33,128,Cornerstone/ Redstone,,3,,,
129-20573,2912.0,100,129,Dalhousie - Sage Hill,,3,,,
133-20573,240.0,4,133,Cranston Express,,3,,,
134-20573,1588.0,93,134,South Silver Springs,,3,,,
135-20573,826.0,43,135,36 Street SE / Erin Woods,,3,,,
138-20573,3512.0,105,138,Citadel,,3,,,
142-20573,489.0,10,142,Panorama Express,,3,,,
145-20573,3482.0,153,145,Skyview Ranch/ Redstone,,3,,,
146-20573,213.0,6,146,Beddington,,3,,,
147-20573,1062.0,40,147,Starfield,,3,,,
148-20573,2774.0,105,148,Great Plains,,3,,,
149-20573,1994.0,56,149,Point Trotter,,3,,,
150-20573,1905.0,70,150,114 Avenue SE,,3,,,
151-20573,486.0,7,151,New Brighton Express,,3,,,
152-20573,308.0,22,152,New Brighton,,3,,,
153-20573,3489.0,53,153,Copperfield,,3,,,
154-20573,1746.0,50,154,Hamptons,,3,,,
155-20573,2451.0,85,155,West Dover / Forest Lawn,,3,,,
156-20573,1013.0,102,156,Aspen Woods,,3,,,
157-20573,2080.0,80,157,Saddletowne-Stoney Industrial,,3,,,
158-20573,1208.0,55,158,Royal Oak,,3,,,
159-20573,1511.0,81,159,Saddlebrook,,3,,,
161-20573,984.0,82,161,North Pointe - Stoney Industrial,,3,,,
164-20573,200.0,20,164,Aspen Woods,,3,,,
167-20573,780.0,20,167,Walden - Legacy CCW,,3,,,
168-20573,742.0,19,168,Walden - Legacy CW,,3,,,
169-20573,899.0,53,169,Rocky Ridge,,3,,,
174-20573,1263.0,52,174,Tuscany,,3,,,
178-20573,806.0,28,178,Sundance/Chaparral,,3,,,
299-20573,1268.0,51,299,Arbour Lake,,3,,,
300-20573,3837.0,92,300,BRT Airport / City Centre,,3,,,
301-20573,8697.0,223,301,BRT North,,3,,,
302-20573,8278.0,152,302,BRT Southeast,,3,,,
303-20573,6373.0,117,303,MAX Orange,,3,,,
304-20573,6476.0,130,304,MAX Yellow,,3,,,
305-20573,1515.0,38,305,BRT Bowness,,3,,,
306-20573,4642.0,89,306,MAX Teal,,3,,,
307-20573,4268.0,132,307,MAX Purple,,3,,,
402-20573,1350.0,54,402,Silverado,,3,,,
404-20573,667.0,28,404,North Hill,,3,,,
406-20573,4244.0,102,406,Auburn Bay,,3,,,
408-20573,2863.0,74,408,Valley Ridge,,3,,,
414-20573,1250.0,42,414,14 Street Crosstown,,3,,,
421-20573,1113.0,46,421,Panatella,,3,,,
422-20573,1148.0,47,422,Dalhousie-Montgomery,,3,,,
430-20573,608.0,55,430,Sandstone / North Pointe,,3,,,
439-20573,1521.0,77,439,Discovery Ridge,,3,,,
440-20573,461.0,23,440,Chateau Estates / Franklin,,3,,,
444-20573,865.0,48,444,Chaparral Valley/ Walden,,3,,,
449-20573,938.0,41,449,Eau Claire - Parkhill,,3,,,
453-20573,1505.0,96,453,West Springs,,3,,,
454-20573,1109.0,72,454,Springbank Hill,,3,,,
468-20573,2106.0,76,468,Cranston / Mahogany,,3,,,
490-20573,78.0,1,490,P/U Bus from NW to Stoney,,3,,,
496-20573,49.0,1,496,P/U Bus SE to SG & SF,,3,,,
497-20573,110.0,1,497,"P/U Bus South SB, AG, VP to SG 440",,3,,,
