route_id,end_hr,trip_headsign,buses per hour,headway by hour
1-20675,05,BOWNESS,1,60.0
1-20675,05,FOREST LAWN,2,30.0
1-20675,06,BOWNESS,3,20.0
1-20675,06,FOREST LAWN,1,60.0
1-20675,07,BOWNESS,3,20.0
1-20675,07,FOREST LAWN,3,20.0
1-20675,08,BOWNESS,3,20.0
1-20675,08,FOREST LAWN,3,20.0
1-20675,09,BOWNESS,2,30.0
1-20675,09,FOREST LAWN,3,20.0
1-20675,10,BOWNESS,3,20.0
1-20675,10,FOREST LAWN,3,20.0
1-20675,11,BOWNESS,3,20.0
1-20675,11,FOREST LAWN,3,20.0
1-20675,12,BOWNESS,3,20.0
1-20675,12,FOREST LAWN,3,20.0
1-20675,13,BOWNESS,3,20.0
1-20675,13,FOREST LAWN,3,20.0
1-20675,14,BOWNESS,3,20.0
1-20675,14,FOREST LAWN,3,20.0
1-20675,15,BOWNESS,3,20.0
1-20675,15,FOREST LAWN,3,20.0
1-20675,16,BOWNESS,3,20.0
1-20675,16,CITY CENTRE,1,60.0
1-20675,16,FOREST LAWN,3,20.0
1-20675,17,BOWNESS,3,20.0
1-20675,17,FOREST LAWN,3,20.0
1-20675,18,BOWNESS,3,20.0
1-20675,18,FOREST LAWN,3,20.0
1-20675,19,BOWNESS,4,15.0
1-20675,19,FOREST LAWN,3,20.0
1-20675,20,BOWNESS,3,20.0
1-20675,20,FOREST LAWN,3,20.0
1-20675,21,BOWNESS,2,30.0
1-20675,21,FOREST LAWN,2,30.0
1-20675,22,BOWNESS,2,30.0
1-20675,22,FOREST LAWN,3,20.0
1-20675,23,BOWNESS,3,20.0
1-20675,23,FOREST LAWN,2,30.0
1-20675,24,BOWNESS,2,30.0
1-20675,24,CITY CENTRE,2,30.0
1-20675,24,FOREST LAWN,2,30.0
10-20675,06,CITY HALL,1,60.0
10-20675,07,CITY HALL,2,30.0
10-20675,07,SOUTHCENTRE,2,30.0
10-20675,08,CITY HALL,1,60.0
10-20675,08,SOUTHCENTRE,1,60.0
10-20675,09,CITY HALL,1,60.0
10-20675,09,SOUTHCENTRE,1,60.0
10-20675,10,CITY HALL,2,30.0
10-20675,10,SOUTHCENTRE,2,30.0
10-20675,11,CITY HALL,1,60.0
10-20675,11,SOUTHCENTRE,1,60.0
10-20675,12,CITY HALL,1,60.0
10-20675,12,SOUTHCENTRE,1,60.0
10-20675,13,CITY HALL,2,30.0
10-20675,13,SOUTHCENTRE,2,30.0
10-20675,14,CITY HALL,1,60.0
10-20675,14,SOUTHCENTRE,1,60.0
10-20675,15,CITY HALL,1,60.0
10-20675,15,SOUTHCENTRE,1,60.0
10-20675,16,CITY HALL,2,30.0
10-20675,16,SOUTHCENTRE,2,30.0
10-20675,17,CITY HALL,1,60.0
10-20675,17,SOUTHCENTRE,1,60.0
10-20675,18,CITY HALL,1,60.0
10-20675,18,SOUTHCENTRE,1,60.0
10-20675,19,CITY HALL,2,30.0
10-20675,19,SOUTHCENTRE,2,30.0
10-20675,20,CITY HALL,1,60.0
10-20675,20,SOUTHCENTRE,1,60.0
10-20675,21,CITY HALL,1,60.0
10-20675,21,SOUTHCENTRE,1,60.0
10-20675,22,CITY HALL,2,30.0
10-20675,22,SOUTHCENTRE,2,30.0
10-20675,23,CITY HALL,1,60.0
10-20675,23,SOUTHCENTRE,1,60.0
10-20675,24,CITY HALL,1,60.0
10-20675,24,SOUTHCENTRE,1,60.0
100-20675,05,AIRPORT/NORTH POINTE TERMINAL,1,60.0
100-20675,06,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20675,06,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20675,07,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20675,07,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20675,08,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20675,08,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20675,09,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20675,09,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20675,10,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20675,10,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20675,11,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20675,11,AIRPORT/NORTH POINTE TERMINAL,1,60.0
100-20675,12,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20675,12,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20675,13,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20675,13,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20675,14,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20675,14,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20675,15,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20675,15,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20675,16,AIRPORT/MCKNIGHT-WESTWINDS STATION,1,60.0
100-20675,16,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20675,17,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20675,17,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20675,18,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20675,18,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20675,19,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20675,19,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20675,20,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20675,20,AIRPORT/NORTH POINTE TERMINAL,1,60.0
100-20675,21,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20675,21,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20675,22,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20675,22,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20675,23,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20675,23,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20675,24,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20675,24,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20675,25,AIRPORT/MCKNIGHT-WESTWINDS STATION,2,30.0
100-20675,25,AIRPORT/NORTH POINTE TERMINAL,2,30.0
100-20675,26,AIRPORT/NORTH POINTE TERMINAL,1,60.0
101-20675,06,CITY CENTRE,1,60.0
101-20675,06,INGLEWOOD,2,30.0
101-20675,07,CITY CENTRE,2,30.0
101-20675,07,INGLEWOOD,1,60.0
101-20675,08,CITY CENTRE,1,60.0
101-20675,08,INGLEWOOD,2,30.0
101-20675,09,CITY CENTRE,2,30.0
101-20675,09,INGLEWOOD,1,60.0
101-20675,10,CITY CENTRE,1,60.0
101-20675,10,INGLEWOOD,2,30.0
101-20675,11,CITY CENTRE,2,30.0
101-20675,11,INGLEWOOD,1,60.0
101-20675,12,CITY CENTRE,1,60.0
101-20675,12,INGLEWOOD,1,60.0
101-20675,13,CITY CENTRE,1,60.0
101-20675,13,INGLEWOOD,2,30.0
101-20675,14,CITY CENTRE,2,30.0
101-20675,14,INGLEWOOD,1,60.0
101-20675,15,CITY CENTRE,1,60.0
101-20675,15,INGLEWOOD,2,30.0
101-20675,16,CITY CENTRE,2,30.0
101-20675,16,INGLEWOOD,1,60.0
101-20675,17,CITY CENTRE,1,60.0
101-20675,17,INGLEWOOD,2,30.0
101-20675,18,CITY CENTRE,1,60.0
101-20675,18,INGLEWOOD,1,60.0
101-20675,19,CITY CENTRE,2,30.0
101-20675,19,INGLEWOOD,2,30.0
101-20675,20,CITY CENTRE,1,60.0
101-20675,20,INGLEWOOD,1,60.0
101-20675,21,CITY CENTRE,1,60.0
101-20675,21,INGLEWOOD,1,60.0
104-20675,06,SUNNYSIDE,2,30.0
104-20675,06,UNIVERSITY OF CALGARY,2,30.0
104-20675,07,SUNNYSIDE,2,30.0
104-20675,07,UNIVERSITY OF CALGARY,2,30.0
104-20675,08,SUNNYSIDE,2,30.0
104-20675,08,UNIVERSITY OF CALGARY,2,30.0
104-20675,09,SUNNYSIDE,2,30.0
104-20675,09,UNIVERSITY OF CALGARY,2,30.0
104-20675,10,SUNNYSIDE,2,30.0
104-20675,10,UNIVERSITY OF CALGARY,2,30.0
104-20675,11,SUNNYSIDE,1,60.0
104-20675,11,UNIVERSITY OF CALGARY,1,60.0
104-20675,12,SUNNYSIDE,2,30.0
104-20675,12,UNIVERSITY OF CALGARY,2,30.0
104-20675,13,SUNNYSIDE,2,30.0
104-20675,13,UNIVERSITY OF CALGARY,2,30.0
104-20675,14,SUNNYSIDE,2,30.0
104-20675,14,UNIVERSITY OF CALGARY,2,30.0
104-20675,15,SUNNYSIDE,2,30.0
104-20675,15,UNIVERSITY OF CALGARY,2,30.0
104-20675,16,SUNNYSIDE,2,30.0
104-20675,16,UNIVERSITY OF CALGARY,2,30.0
104-20675,17,SUNNYSIDE,2,30.0
104-20675,17,UNIVERSITY OF CALGARY,2,30.0
104-20675,18,SUNNYSIDE,2,30.0
104-20675,18,UNIVERSITY OF CALGARY,2,30.0
104-20675,19,SUNNYSIDE,2,30.0
104-20675,19,UNIVERSITY OF CALGARY,2,30.0
104-20675,20,SUNNYSIDE,1,60.0
104-20675,20,UNIVERSITY OF CALGARY,1,60.0
104-20675,21,SUNNYSIDE,2,30.0
104-20675,21,UNIVERSITY OF CALGARY,2,30.0
104-20675,22,SUNNYSIDE,2,30.0
104-20675,22,UNIVERSITY OF CALGARY,2,30.0
104-20675,23,SUNNYSIDE,2,30.0
104-20675,23,UNIVERSITY OF CALGARY,2,30.0
104-20675,24,SUNNYSIDE,2,30.0
104-20675,24,UNIVERSITY OF CALGARY,2,30.0
104-20675,25,SUNNYSIDE,1,60.0
105-20675,05,DALHOUSIE STATION,1,60.0
