route_id,operating_mins,trip_count,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1-20675,8555.0,112,1,Bowness/Forest Lawn,,3,,,
2-20675,6291.0,103,2,Mount Pleasant/Killarney 17 Av SW,,3,,,
3-20675,11337.0,172,3,Sandstone/Elbow Dr SW,,3,,,
4-20675,2801.0,41,4,Huntington,,3,,,
5-20675,3058.0,46,5,North Haven,,3,,,
6-20675,3904.0,94,6,Killarney/26 Av SW,,3,,,
7-20675,3132.0,101,7,Marda Loop,,3,,,
8-20675,5610.0,118,8,North Pointe Terminal/Foothills Medical Centre,,3,,,
9-20675,8732.0,121,9,Dalhousie Station/Chinook Station,,3,,,
10-20675,1942.0,49,10,City Hall/Southcentre,,3,,,
11-20675,1855.0,33,11,Southwest Loop,,3,,,
12-20675,2199.0,43,12,Southwest Loop,,3,,,
13-20675,3620.0,79,13,Altadore,,3,,,
14-20675,4252.0,116,14,Bridlewood/Cranston,,3,,,
15-20675,1721.0,58,15,Millrise,,3,,,
17-20675,2592.0,60,17,Renfrew/Ramsay,,3,,,
19-20675,3280.0,86,19,16 Ave N,,3,,,
20-20675,6913.0,104,20,Heritage Station/Northmount Dr N,,3,,,
21-20675,1716.0,60,21,Castleridge,,3,,,
22-20675,2676.0,84,22,Richmond Rd SW,,3,,,
23-20675,9778.0,150,23,52 St E,,3,,,
24-20675,2884.0,80,24,Ogden,,3,,,
27-20675,694.0,40,27,Willowglen,,3,,,
28-20675,1170.0,37,28,Deer Run,,3,,,
29-20675,1392.0,33,29,Queensland,,3,,,
30-20675,742.0,31,30,Highfield Industrial,,3,,,
31-20675,2090.0,71,31,Dalhousie Station/Lions Park Station,,3,,,
32-20675,2829.0,79,32,Huntington/Sunridge,,3,,,
33-20675,1463.0,62,33,Vista Heights/Rundle,,3,,,
34-20675,1311.0,43,34,Pineridge,,3,,,
35-20675,977.0,38,35,Bonavista/Canyon Meadows,,3,,,
36-20675,1280.0,33,36,Riverbend,,3,,,
