service_id,date,exception_type
2019DE-1BUSWK-Weekday-10,20200217,2
2019DE-1BUSWK-Weekday-10-1111000,20200217,2
2019DE-1BUSWK-Weekday-10-0000100,20200217,2
2019DE-1BUSWK-Weekday-10-1101100,20200217,2
2019DE-1BUSWK-Weekday-10-0010000,20200217,2
2019DE-1BUSSU-Sunday-10,20200217,1
2019DE-1LRTWK-Weekday-00,20200217,2
2019DE-1LRTSU-Sunday-00,20200217,1
