stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
2099,2099,"SB Shaganappi TR @ Nolan Hill GA NW",,  51.179286,-114.159970,,,0
2112,2112,"EB Auburn Bay DR @ S.leg Auburn Glen HT SE",,  50.894138,-113.956180,,,0
2113,2113,"EB Auburn Bay DR @ Auburn Glen GR SE",,  50.897821,-113.952971,,,0
2114,2114,"EB Auburn Bay DR @ Auburn Glen DR SE",,  50.898699,-113.950632,,,0
2115,2115,"EB Auburn Bay DR @ 56 ST SE",,  50.899168,-113.947542,,,0
2116,2116,"EB Mahogany BV @ Mahogany GA SE",,  50.899358,-113.937620,,,0
2118,2118,"WB Mahogany GA @ Mahogany BV SE",,  50.899631,-113.937671,,,0
2119,2119,"WB Auburn Bay DR @ Auburn Meadows Pl",,  50.899267,-113.948747,,,0
2120,2120,"WB Auburn Bay DR @ Auburn Glen DR SE",,  50.898746,-113.951509,,,0
2121,2121,"WB Auburn Bay DR @ Auburn Glen GR SE",,  50.898018,-113.953038,,,0
2122,2122,"WB Auburn Bay DR @ Auburn Glen WY SE",,  50.896211,-113.954912,,,0
2123,2123,"WB Cranston DR @ Cranston BV",,  50.891879,-113.985865,,,0
2124,2124,"SB Cranston DR @ Cranston GA SE",,  50.888279,-113.988168,,,0
2125,2125,"SB Cranston DR @ Cranston WY SE",,  50.885849,-113.988230,,,0
2126,2126,"EB Cranston DR @ W. Leg Cranridge HT SE",,  50.882874,-113.986014,,,0
2127,2127,"EB Cranston DR @ Cranridge TC SE",,  50.881978,-113.981265,,,0
2128,2128,"NB New Brighton DR @ New Brighton AV SE",,  50.922277,-113.936806,,,0
2129,2129,"EB New Brighton DR @ New Brighton HT SE",,  50.916486,-113.940834,,,0
2130,2130,"EB New Brighton DR @ New Brighton PA SE",,  50.917433,-113.937045,,,0
2131,2131,"EB New Brighton DR @ New Brighton GV SE",,  50.919602,-113.935511,,,0
2132,2132,"WB New Brighton DR @ BrightonCrest PT SE",,  50.923482,-113.938641,,,0
2133,2133,"WB New Brighton DR @ BrightonCrest TC SE",,  50.922111,-113.942857,,,0
2134,2134,"WB New Brighton DR @ BrightonCrest RI SE",,  50.921989,-113.946441,,,0
2135,2135,"WB New Brighton DR @ BrightonCrest MR SE",,  50.924384,-113.949381,,,0
2148,2148,"WB 14 AV SW @ Ascot DR",,  51.045264,-114.220049,,,0
2149,2149,"Tuscany Station - Rocky Ridge Terminal",,  51.135169,-114.234791,,,0
2150,2150,"Tuscany Station - Rocky Ridge Terminal",,  51.135036,-114.234832,,,0
2151,2151,"Tuscany Station - Rocky Ridge Terminal",,  51.134928,-114.234981,,,0
2152,2152,"Tuscany Station - Tuscany Terminal",,  51.133697,-114.235998,,,0
2153,2153,"Tuscany Station - Tuscany Terminal",,  51.133564,-114.235609,,,0
2155,2155,"SB 23 ST NE @ 37 AV NE",,  51.086447,-114.005180,,,0
2156,2156,"SB 23 ST NE @ 35 AV NE",,  51.083712,-114.005231,,,0
2157,2157,"NB 23 ST NE @ 35 AV NE",,  51.083995,-114.004990,,,0
2158,2158,"NB 23 ST NE @ 32 AV NE",,  51.082219,-114.004926,,,0
2164,2164,"EB Shawville GA @ Shawville LI SE",,  50.898931,-114.064968,,,0
2165,2165,"SB 5 ST SW @ 5 AV SW",,  51.048411,-114.073787,,,0
2166,2166,"EB 17 AV SE @ 65 ST SE",,  51.037756,-113.938530,,,0
2168,2168,"WB 8 AV NE @ 13A ST NE",,  51.059211,-114.029067,,,0
2177,2177,"EB 17 AV SE @ 68 ST SE",,  51.037709,-113.934062,,,0
2178,2178,"EB 17th AV SE @ 70th ST SE",,  51.037693,-113.929646,,,0
2179,2179,"WB 17 AV SE @ 68 ST SE",,  51.037919,-113.936097,,,0
2180,2180,"WB 17th AV SE @ 70th ST SE",,  51.037941,-113.930992,,,0
2181,2181,"NB Ogden RD @ 78 AV SE",,  50.982976,-113.998665,,,0
2183,2183,"NB 19 ST NE @ Aero DR",,  51.137757,-114.013008,,,0
2184,2184,"WB 100 AV NE @ 19 ST NE",,  51.143451,-114.014166,,,0
2185,2185,"NB Freeport BV @ 104 AV NE",,  51.147475,-114.019984,,,0
2186,2186,"SB 16 ST NE @ 104 AV NE",,  51.146391,-114.020200,,,0
2187,2187,"SB 19 ST NE @ 100 AV NE",,  51.142816,-114.013493,,,0
2188,2188,"WB Freeport BV @ 19 St NE",,  51.150917,-114.013991,,,0
2190,2190,"WB Freeport BV @ Barlow TR NE",,  51.150946,-114.002893,,,0
2191,2191,"WB Aero DR @ Aero CR E legNE",,  51.136701,-114.026764,,,0
2192,2192,"EB Freeport BV @ Freeport WY NE",,  51.150589,-114.009294,,,0
2193,2193,"SB Shaganappi TR @ Sage Valley BV NW",,  51.175259,-114.157220,,,0
2194,2194,"EB Sage Hill BV @ Shaganappi TR NW",,  51.170170,-114.150749,,,0
2195,2195,"EB Sage Hill BV @ Sage Hill PS NW",,  51.170497,-114.145890,,,0
2196,2196,"WB Symons Valley Py @ Kincora Ga NW",,  51.168190,-114.147955,,,0
2197,2197,"EB Symons Valley PY @ Shaganappi TR",,  51.167864,-114.150460,,,0
2198,2198,"EB Sage Hill DR @ Sage Hill GD NW",,  51.171051,-114.137440,,,0
2199,2199,"WB Sage Hill DR @ Sage Hill GD NW",,  51.171814,-114.137923,,,0
2200,2200,"WB Front ST @ Main Ent. South Health Campus SE",,  50.881412,-113.949462,,,0
2201,2201,"SB Walden DR SE @ acr. Walden TC SE",,  50.874080,-114.036571,,,0
2202,2202,"SB Walden DR SE @ Walden CR SE (n.leg)",,  50.872983,-114.038180,,,0
