,route_id,operating mins,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
108,454-20573,1109.0,454,Springbank Hill,,3,,,
109,46-20573,1525.0,46,Beddington,,3,,,
110,468-20573,2106.0,468,Cranston / Mahogany,,3,,,
111,48-20573,1998.0,48,Rundle,,3,,,
112,49-20573,2599.0,49,Forest Heights,,3,,,
113,490-20573,78.0,490,P/U Bus from NW to Stoney,,3,,,
114,496-20573,49.0,496,P/U Bus SE to SG & SF,,3,,,
115,497-20573,110.0,497,"P/U Bus South SB, AG, VP to SG 440",,3,,,
116,5-20573,4012.0,5,North Haven,,3,,,
117,502-20573,180.0,502,Heritage Park Shuttle,,3,,,
118,52-20573,2709.0,52,Evergreen/Somerset,,3,,,
119,53-20573,2222.0,53,Brentwood-Greenwood,,3,,,
120,54-20573,1820.0,54,Edgevalley,,3,,,
121,55-20573,2060.0,55,Falconridge,,3,,,
122,56-20573,4058.0,56,Woodbine,,3,,,
123,57-20573,3704.0,57, Monterey Park/ McCall Way,,3,,,
124,58-20573,2791.0,58,44 Street SE / Erin Woods,,3,,,
125,59-20573,320.0,59,Savanna,,3,,,
126,6-20573,4740.0,6,Killarney / 26 Ave.,,3,,,
127,60-20573,1310.0,60,Taradale,,3,,,
128,61-20573,1436.0,61,Martindale,,3,,,
129,62-20573,564.0,62,Hidden Valley Express,,3,,,
130,627-20573,10.0,627,Columbia College,,3,,,
131,64-20573,859.0,64,MacEwan Express,,3,,,
132,65-20573,3004.0,65,Market Mall-Downtown West,,3,,,
133,66-20573,3514.0,66,Lakeview,,3,,,
134,67-20573,1464.0,67,Memorial Drive,,3,,,
135,68-20573,737.0,68,68 Street East,,3,,,
136,69-20573,154.0,69,Deerfoot Centre,,3,,,
137,695-20573,40.0,695,St Francis/ Valley Ridge,,3,,,
138,698-20573,114.0,698,17th Ave/Western Canada/St. Mary's,,3,,,
139,699-20573,259.0,699,West Springs/various schools,,3,,,
140,7-20573,3926.0,7,Marda Loop,,3,,,
