route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
739-20589,739,"Diefenbaker/Panorama Hills",,3,,,
743-20573,743,"Crescent Heights/ Whitehorn Stn",,3,,,
743-20589,743,"Crescent Heights/ Whitehorn Stn",,3,,,
744-20573,744,"Crescent Heights/Coventry- South",,3,,,
744-20589,744,"Crescent Heights/Coventry- South",,3,,,
745-20573,745,"Crescent Heights/Vista Heights",,3,,,
745-20589,745,"Crescent Heights/Vista Heights",,3,,,
746-20573,746,"Crescent Heights/ Coventry Hills",,3,,,
746-20589,746,"Crescent Heights/ Coventry Hills",,3,,,
747-20573,747,"Crescent Heights/Hidden Valley",,3,,,
747-20589,747,"Crescent Heights/Hidden Valley",,3,,,
748-20573,748,"Crescent Heights/ Hidden Ranch",,3,,,
748-20589,748,"Crescent Heights/ Hidden Ranch",,3,,,
750-20573,750,"Nelson Mandela/ Coral Springs",,3,,,
750-20589,750,"Nelson Mandela/ Coral Springs",,3,,,
752-20573,752,"Fowler/SageHill/Kincora",,3,,,
752-20589,752,"Fowler/SageHill/Kincora",,3,,,
753-20573,753,"Fowler/Evanston/Kincora",,3,,,
753-20589,753,"Fowler/Evanston/Kincora",,3,,,
754-20573,754,"Joane Cardinal-Schubert/Copperpond",,3,,,
754-20589,754,"Joane Cardinal-Schubert/Copperpond",,3,,,
755-20573,755,"Joane Cardinal-Schubert/Douglasglen",,3,,,
755-20589,755,"Joane Cardinal-Schubert/Douglasglen",,3,,,
756-20573,756,"Joane Cardinal-Schubert/ New Brighton",,3,,,
756-20589,756,"Joane Cardinal-Schubert/ New Brighton",,3,,,
757-20573,757,"Joane Cardinal-Schubert/McKenzie Lake",,3,,,
757-20589,757,"Joane Cardinal-Schubert/McKenzie Lake",,3,,,
758-20573,758,"Joane Cardinal-Schubert/Douglasdale",,3,,,
758-20589,758,"Joane Cardinal-Schubert/Douglasdale",,3,,,
759-20573,759,"Joane Cardinal-Schubert/McKenzie Towne",,3,,,
759-20589,759,"Joane Cardinal-Schubert/McKenzie Towne",,3,,,
760-20573,760,"Scarlett / West Bonavista",,3,,,
760-20589,760,"Scarlett / West Bonavista",,3,,,
762-20573,762,"Scarlett/Bonavista",,3,,,
762-20589,762,"Scarlett/Bonavista",,3,,,
763-20573,763,"Scarlett/Woodbine",,3,,,
763-20589,763,"Scarlett/Woodbine",,3,,,
764-20573,764,"Scarlett/James McKevitt Rd",,3,,,
764-20589,764,"Scarlett/James McKevitt Rd",,3,,,
765-20573,765,"Scarlett/Silverado",,3,,,
765-20589,765,"Scarlett/Silverado",,3,,,
766-20573,766,"Scarlett/Evergreen",,3,,,
766-20589,766,"Scarlett/Evergreen",,3,,,
767-20573,767,"Sacrlett/ Anderson",,3,,,
767-20589,767,"Sacrlett/ Anderson",,3,,,
768-20573,768,"Scarlett/Walden",,3,,,
768-20589,768,"Scarlett/Walden",,3,,,
770-20573,770,"Western Canada/Riverbend/Lynnview",,3,,,
770-20589,770,"Western Canada/Riverbend/Lynnview",,3,,,
771-20573,771,"Western Canada/Chinook Stn.",,3,,,
771-20589,771,"Western Canada/Chinook Stn.",,3,,,
773-20573,773,"Robert Thirsk / Rocky Ridge",,3,,,
773-20589,773,"Robert Thirsk / Rocky Ridge",,3,,,
774-20573,774,"Robert Thirsk/ Royal Oak",,3,,,
774-20589,774,"Robert Thirsk/ Royal Oak",,3,,,
775-20573,775,"Robert Thirsk / Citadel",,3,,,
775-20589,775,"Robert Thirsk / Citadel",,3,,,
776-20573,776,"Wise Wood/Palliser/Oakridge",,3,,,
776-20589,776,"Wise Wood/Palliser/Oakridge",,3,,,
777-20573,777,"Wise Wood/Evergreen",,3,,,
777-20589,777,"Wise Wood/Evergreen",,3,,,
778-20573,778,"Wise Wood/Woodlands",,3,,,
778-20589,778,"Wise Wood/Woodlands",,3,,,
780-20573,780,"Wise Wood/Oakridge",,3,,,
780-20589,780,"Wise Wood/Oakridge",,3,,,
782-20573,782,"H.D. Cartwrightl/Nolan Hill",,3,,,
782-20589,782,"H.D. Cartwrightl/Nolan Hill",,3,,,
786-20573,786,"John Ware / Woodbine",,3,,,
786-20589,786,"John Ware / Woodbine",,3,,,
791-20573,791,"Queen Elizabeth/MacEwan",,3,,,
791-20589,791,"Queen Elizabeth/MacEwan",,3,,,
792-20573,792,"Queen Elizabeth/Sandstone",,3,,,
792-20589,792,"Queen Elizabeth/Sandstone",,3,,,
793-20573,793,"Queen E/ Sunnyside",,3,,,
793-20589,793,"Queen E/ Sunnyside",,3,,,
794-20573,794,"F.E. Osborne/ Silver Springs",,3,,,
794-20589,794,"F.E. Osborne/ Silver Springs",,3,,,
795-20573,795,"Vincent Massey/ Strathcona",,3,,,
795-20589,795,"Vincent Massey/ Strathcona",,3,,,
796-20573,796,"Tom Baines/Edgemont",,3,,,
796-20589,796,"Tom Baines/Edgemont",,3,,,
797-20573,797,"Tom Baines/Hamptons",,3,,,
797-20589,797,"Tom Baines/Hamptons",,3,,,
798-20573,798,"Annie Gale/Taradale",,3,,,
798-20589,798,"Annie Gale/Taradale",,3,,,
799-20573,799,"Annie Gale/ Coral Springs",,3,,,
799-20589,799,"Annie Gale/ Coral Springs",,3,,,
801-20573,801,"Brebeuf/RoyalOak",,3,,,
801-20589,801,"Brebeuf/RoyalOak",,3,,,
802-20573,802,"Brebeuf/Hawkwood",,3,,,
802-20589,802,"Brebeuf/Hawkwood",,3,,,
805-20573,805,"Brebeuf/Hamptons/Edgemont",,3,,,
805-20589,805,"Brebeuf/Hamptons/Edgemont",,3,,,
807-20573,807,"Brebeuf/Rocky Ridge",,3,,,
807-20589,807,"Brebeuf/Rocky Ridge",,3,,,
810-20573,810,"St. Francis/St Margaret/ North Pointe",,3,,,
810-20589,810,"St. Francis/St Margaret/ North Pointe",,3,,,
811-20573,811,"St. Francis/ Tuscany",,3,,,
811-20589,811,"St. Francis/ Tuscany",,3,,,
812-20573,812,"St. Francis/E. Arbour Lake/Citadel",,3,,,
812-20589,812,"St. Francis/E. Arbour Lake/Citadel",,3,,,
813-20573,813,"St. Francis/Arbour Lk/ Scenic Acres/Silver Springs",,3,,,
813-20589,813,"St. Francis/Arbour Lk/ Scenic Acres/Silver Springs",,3,,,
814-20573,814,"St. Francis/Royal Oak",,3,,,
814-20589,814,"St. Francis/Royal Oak",,3,,,
815-20573,815,"St. Francis/S. Ranchlands/Arbour Lk",,3,,,
815-20589,815,"St. Francis/S. Ranchlands/Arbour Lk",,3,,,
816-20573,816,"St. Francis/E. Hawkwood/Citadel",,3,,,
816-20589,816,"St. Francis/E. Hawkwood/Citadel",,3,,,
817-20573,817,"St. Francis/ Rocky Ridge",,3,,,
817-20589,817,"St. Francis/ Rocky Ridge",,3,,,
818-20573,818,"St. Francis/Hamptons/Edgemont",,3,,,
818-20589,818,"St. Francis/Hamptons/Edgemont",,3,,,
819-20573,819,"St. Francis/Sherwood/ Edgemont",,3,,,
819-20589,819,"St. Francis/Sherwood/ Edgemont",,3,,,
820-20573,820,"St. Francis/Scenic Acres North",,3,,,
820-20589,820,"St. Francis/Scenic Acres North",,3,,,
821-20573,821,"Bishop O'Byrne/McKenzie/Mountain Park",,3,,,
821-20589,821,"Bishop O'Byrne/McKenzie/Mountain Park",,3,,,
825-20573,825,"Bishop Carroll/ Mckenzie Towne Express",,3,,,
825-20589,825,"Bishop Carroll/ Mckenzie Towne Express",,3,,,
826-20573,826,"Bishop Carroll/Dalhousie/Brentwood",,3,,,
826-20589,826,"Bishop Carroll/Dalhousie/Brentwood",,3,,,
827-20573,827,"Bishop Carroll/Anderson",,3,,,
827-20589,827,"Bishop Carroll/Anderson",,3,,,
832-20573,832,"Madeleine d'Houet/Sandstone",,3,,,
832-20589,832,"Madeleine d'Houet/Sandstone",,3,,,
833-20573,833,"Madeleine d'Houet/Dalhousie Stn",,3,,,
833-20589,833,"Madeleine d'Houet/Dalhousie Stn",,3,,,
835-20573,835,"St Bonaventure / Anderson",,3,,,
835-20589,835,"St Bonaventure / Anderson",,3,,,
836-20573,836,"St. Vincent de Paul/ Scenic Acres",,3,,,
836-20589,836,"St. Vincent de Paul/ Scenic Acres",,3,,,
839-20573,839,"Our Lady of Grace/ Evanston",,3,,,
839-20589,839,"Our Lady of Grace/ Evanston",,3,,,
843-20573,843,"Notre Dame/Hidden Valley/MacEwan",,3,,,
843-20589,843,"Notre Dame/Hidden Valley/MacEwan",,3,,,
844-20573,844,"Notre Dame/ Evanston",,3,,,
844-20589,844,"Notre Dame/ Evanston",,3,,,
845-20573,845,"Msgr J S Smith School/ Mahogany",,3,,,
845-20589,845,"Msgr J S Smith School/ Mahogany",,3,,,
851-20573,851,"St Augustine / Lynnwood / Ogden",,3,,,
851-20589,851,"St Augustine / Lynnwood / Ogden",,3,,,
853-20573,853,"St Augustine / Riverbend",,3,,,
853-20589,853,"St Augustine / Riverbend",,3,,,
