route_id,end_hr,buses per hour,headway by hour
1-20568,05,2,30.0
1-20568,06,9,6.666666666666667
1-20568,07,9,6.666666666666667
1-20568,08,10,6.0
1-20568,09,10,6.0
1-20568,10,7,8.571428571428571
1-20568,11,7,8.571428571428571
1-20568,12,6,10.0
1-20568,13,6,10.0
1-20568,14,7,8.571428571428571
1-20568,15,6,10.0
1-20568,16,10,6.0
1-20568,17,10,6.0
1-20568,18,10,6.0
1-20568,19,11,5.454545454545454
1-20568,20,5,12.0
1-20568,21,5,12.0
1-20568,22,6,10.0
1-20568,23,4,15.0
1-20568,24,6,10.0
10-20568,06,2,30.0
10-20568,07,4,15.0
10-20568,08,5,12.0
10-20568,09,4,15.0
10-20568,10,4,15.0
10-20568,11,4,15.0
10-20568,12,4,15.0
10-20568,13,4,15.0
10-20568,14,4,15.0
10-20568,15,4,15.0
10-20568,16,4,15.0
10-20568,17,5,12.0
10-20568,18,5,12.0
10-20568,19,4,15.0
10-20568,20,4,15.0
10-20568,21,3,20.0
10-20568,22,4,15.0
10-20568,23,2,30.0
10-20568,24,4,15.0
100-20568,05,1,60.0
100-20568,06,6,10.0
100-20568,07,4,15.0
100-20568,08,6,10.0
100-20568,09,5,12.0
100-20568,10,4,15.0
100-20568,11,4,15.0
100-20568,12,4,15.0
100-20568,13,4,15.0
100-20568,14,4,15.0
100-20568,15,5,12.0
100-20568,16,4,15.0
100-20568,17,6,10.0
100-20568,18,5,12.0
100-20568,19,4,15.0
100-20568,20,4,15.0
100-20568,21,4,15.0
100-20568,22,4,15.0
100-20568,23,4,15.0
100-20568,24,4,15.0
100-20568,25,4,15.0
102-20568,07,3,20.0
102-20568,16,1,60.0
102-20568,17,2,30.0
103-20568,06,1,60.0
103-20568,07,4,15.0
103-20568,17,3,20.0
103-20568,18,2,30.0
104-20568,06,6,10.0
104-20568,07,8,7.5
104-20568,08,8,7.5
104-20568,09,4,15.0
104-20568,10,4,15.0
104-20568,11,4,15.0
104-20568,12,4,15.0
104-20568,13,4,15.0
104-20568,14,4,15.0
104-20568,15,8,7.5
104-20568,16,8,7.5
104-20568,17,8,7.5
104-20568,18,8,7.5
104-20568,19,4,15.0
104-20568,20,4,15.0
104-20568,21,4,15.0
104-20568,22,4,15.0
104-20568,23,4,15.0
104-20568,24,4,15.0
104-20568,25,1,60.0
105-20568,05,1,60.0
105-20568,06,4,15.0
105-20568,07,8,7.5
105-20568,08,8,7.5
105-20568,09,6,10.0
105-20568,10,4,15.0
105-20568,11,4,15.0
105-20568,12,4,15.0
105-20568,13,4,15.0
105-20568,14,4,15.0
105-20568,15,5,12.0
105-20568,16,8,7.5
105-20568,17,7,8.571428571428571
105-20568,18,4,15.0
105-20568,19,4,15.0
105-20568,20,3,20.0
105-20568,21,3,20.0
105-20568,22,3,20.0
107-20568,07,2,30.0
107-20568,08,1,60.0
107-20568,16,1,60.0
107-20568,17,2,30.0
109-20568,06,1,60.0
109-20568,07,4,15.0
109-20568,16,1,60.0
109-20568,17,3,20.0
