route_id,end_hr,buses per hour,headway by hour
1-20637,05,3,20.0
1-20637,06,4,15.0
1-20637,07,6,10.0
1-20637,08,5,12.0
1-20637,09,6,10.0
1-20637,10,6,10.0
1-20637,11,6,10.0
1-20637,12,6,10.0
1-20637,13,6,10.0
1-20637,14,6,10.0
1-20637,15,6,10.0
1-20637,16,7,8.571428571428571
1-20637,17,6,10.0
1-20637,18,6,10.0
1-20637,19,7,8.571428571428571
1-20637,20,6,10.0
1-20637,21,4,15.0
1-20637,22,5,12.0
1-20637,23,5,12.0
1-20637,24,6,10.0
10-20637,06,2,30.0
10-20637,07,4,15.0
10-20637,08,4,15.0
10-20637,09,4,15.0
10-20637,10,4,15.0
10-20637,11,4,15.0
10-20637,12,4,15.0
10-20637,13,4,15.0
10-20637,14,4,15.0
10-20637,15,4,15.0
10-20637,16,4,15.0
10-20637,17,4,15.0
10-20637,18,4,15.0
10-20637,19,3,20.0
10-20637,20,3,20.0
10-20637,21,3,20.0
10-20637,22,3,20.0
10-20637,23,3,20.0
100-20637,05,1,60.0
100-20637,06,4,15.0
100-20637,07,4,15.0
100-20637,08,4,15.0
100-20637,09,4,15.0
100-20637,10,4,15.0
100-20637,11,3,20.0
100-20637,12,4,15.0
100-20637,13,4,15.0
100-20637,14,4,15.0
100-20637,15,4,15.0
100-20637,16,3,20.0
100-20637,17,4,15.0
100-20637,18,4,15.0
100-20637,19,4,15.0
100-20637,20,3,20.0
100-20637,21,4,15.0
100-20637,22,4,15.0
100-20637,23,4,15.0
100-20637,24,4,15.0
100-20637,25,4,15.0
100-20637,26,1,60.0
101-20637,06,3,20.0
101-20637,07,3,20.0
101-20637,08,3,20.0
101-20637,09,3,20.0
101-20637,10,3,20.0
101-20637,11,3,20.0
101-20637,12,2,30.0
101-20637,13,3,20.0
101-20637,14,3,20.0
101-20637,15,3,20.0
101-20637,16,3,20.0
101-20637,17,3,20.0
101-20637,18,2,30.0
101-20637,19,4,15.0
101-20637,20,2,30.0
101-20637,21,2,30.0
102-20637,07,2,30.0
102-20637,16,1,60.0
102-20637,17,1,60.0
103-20637,06,1,60.0
103-20637,07,2,30.0
103-20637,17,2,30.0
103-20637,18,1,60.0
104-20637,06,4,15.0
104-20637,07,4,15.0
104-20637,08,4,15.0
104-20637,09,4,15.0
104-20637,10,4,15.0
104-20637,11,4,15.0
104-20637,12,4,15.0
104-20637,13,4,15.0
104-20637,14,4,15.0
104-20637,15,4,15.0
104-20637,16,4,15.0
104-20637,17,4,15.0
104-20637,18,4,15.0
104-20637,19,4,15.0
104-20637,20,4,15.0
104-20637,21,4,15.0
104-20637,22,4,15.0
104-20637,23,4,15.0
104-20637,24,4,15.0
104-20637,25,1,60.0
105-20637,05,2,30.0
105-20637,06,4,15.0
105-20637,07,4,15.0
105-20637,08,4,15.0
105-20637,09,4,15.0
105-20637,10,4,15.0
105-20637,11,4,15.0
105-20637,12,4,15.0
105-20637,13,4,15.0
105-20637,14,3,20.0
105-20637,15,5,12.0
105-20637,16,5,12.0
105-20637,17,4,15.0
105-20637,18,5,12.0
105-20637,19,4,15.0
105-20637,20,4,15.0
105-20637,21,3,20.0
105-20637,22,2,30.0
106-20637,06,2,30.0
106-20637,07,1,60.0
106-20637,08,1,60.0
106-20637,09,2,30.0
106-20637,10,1,60.0
106-20637,11,2,30.0
106-20637,12,1,60.0
106-20637,13,2,30.0
106-20637,14,1,60.0
106-20637,15,1,60.0
106-20637,16,2,30.0
106-20637,17,1,60.0
106-20637,18,2,30.0
106-20637,19,1,60.0
109-20637,06,1,60.0
109-20637,07,2,30.0
109-20637,16,1,60.0
109-20637,17,1,60.0
11-20637,05,1,60.0
11-20637,06,2,30.0
11-20637,07,2,30.0
11-20637,08,3,20.0
11-20637,09,2,30.0
11-20637,10,2,30.0
11-20637,11,2,30.0
11-20637,12,2,30.0
11-20637,13,2,30.0
11-20637,14,2,30.0
11-20637,15,2,30.0
11-20637,16,2,30.0
11-20637,17,2,30.0
11-20637,18,2,30.0
11-20637,19,2,30.0
11-20637,20,2,30.0
11-20637,21,2,30.0
110-20637,07,1,60.0
111-20637,06,6,10.0
111-20637,07,4,15.0
111-20637,08,4,15.0
111-20637,09,6,10.0
111-20637,10,4,15.0
111-20637,11,6,10.0
111-20637,12,4,15.0
111-20637,13,4,15.0
111-20637,14,6,10.0
111-20637,15,4,15.0
111-20637,16,6,10.0
111-20637,17,4,15.0
111-20637,18,4,15.0
111-20637,19,3,20.0
111-20637,20,3,20.0
111-20637,21,2,30.0
111-20637,22,3,20.0
113-20637,05,2,30.0
113-20637,06,2,30.0
113-20637,07,4,15.0
113-20637,08,4,15.0
113-20637,09,5,12.0
113-20637,10,4,15.0
113-20637,11,4,15.0
113-20637,12,4,15.0
113-20637,13,4,15.0
113-20637,14,4,15.0
113-20637,15,3,20.0
113-20637,16,4,15.0
113-20637,17,4,15.0
113-20637,18,5,12.0
113-20637,19,4,15.0
113-20637,20,4,15.0
113-20637,21,4,15.0
113-20637,22,4,15.0
113-20637,23,3,20.0
113-20637,24,1,60.0
114-20637,05,2,30.0
114-20637,06,2,30.0
114-20637,07,2,30.0
114-20637,08,2,30.0
114-20637,09,2,30.0
114-20637,10,2,30.0
114-20637,11,2,30.0
114-20637,12,2,30.0
114-20637,13,2,30.0
114-20637,14,2,30.0
114-20637,15,2,30.0
114-20637,16,2,30.0
114-20637,17,2,30.0
114-20637,18,2,30.0
114-20637,19,1,60.0
114-20637,20,2,30.0
114-20637,21,1,60.0
114-20637,22,2,30.0
114-20637,23,1,60.0
114-20637,24,1,60.0
115-20637,04,1,60.0
115-20637,05,2,30.0
115-20637,06,4,15.0
115-20637,07,2,30.0
115-20637,08,4,15.0
115-20637,09,4,15.0
115-20637,10,3,20.0
115-20637,11,3,20.0
115-20637,12,4,15.0
115-20637,13,2,30.0
115-20637,14,4,15.0
115-20637,15,3,20.0
115-20637,16,3,20.0
115-20637,17,4,15.0
115-20637,18,2,30.0
115-20637,19,4,15.0
115-20637,20,4,15.0
115-20637,21,2,30.0
115-20637,22,4,15.0
115-20637,23,3,20.0
116-20637,06,1,60.0
116-20637,07,3,20.0
116-20637,17,3,20.0
116-20637,18,1,60.0
117-20637,06,1,60.0
117-20637,07,2,30.0
117-20637,17,2,30.0
117-20637,18,1,60.0
118-20637,05,2,30.0
118-20637,06,1,60.0
118-20637,07,2,30.0
118-20637,08,2,30.0
118-20637,09,2,30.0
118-20637,10,2,30.0
118-20637,11,2,30.0
118-20637,12,2,30.0
118-20637,13,2,30.0
118-20637,14,2,30.0
118-20637,15,2,30.0
118-20637,16,2,30.0
118-20637,17,2,30.0
118-20637,18,2,30.0
118-20637,19,2,30.0
118-20637,20,2,30.0
118-20637,21,2,30.0
118-20637,22,2,30.0
118-20637,23,2,30.0
119-20637,06,2,30.0
119-20637,07,1,60.0
119-20637,08,1,60.0
119-20637,14,1,60.0
119-20637,15,1,60.0
119-20637,16,1,60.0
119-20637,17,1,60.0
119-20637,18,1,60.0
119-20637,23,1,60.0
12-20637,05,2,30.0
12-20637,06,3,20.0
12-20637,07,2,30.0
12-20637,08,2,30.0
12-20637,09,2,30.0
12-20637,10,2,30.0
12-20637,11,2,30.0
12-20637,12,2,30.0
12-20637,13,2,30.0
12-20637,14,2,30.0
12-20637,15,4,15.0
12-20637,16,2,30.0
12-20637,17,2,30.0
12-20637,18,2,30.0
12-20637,19,2,30.0
12-20637,20,2,30.0
12-20637,21,2,30.0
12-20637,22,2,30.0
12-20637,23,2,30.0
120-20637,05,2,30.0
120-20637,06,3,20.0
120-20637,07,3,20.0
120-20637,08,3,20.0
120-20637,09,3,20.0
120-20637,10,3,20.0
120-20637,11,3,20.0
120-20637,12,3,20.0
120-20637,13,3,20.0
120-20637,14,3,20.0
120-20637,15,3,20.0
120-20637,16,3,20.0
120-20637,17,3,20.0
120-20637,18,3,20.0
120-20637,19,3,20.0
120-20637,20,3,20.0
120-20637,21,3,20.0
120-20637,22,3,20.0
120-20637,23,3,20.0
123-20637,05,2,30.0
123-20637,06,5,12.0
123-20637,07,4,15.0
123-20637,08,7,8.571428571428571
123-20637,09,4,15.0
123-20637,10,5,12.0
123-20637,11,4,15.0
123-20637,12,4,15.0
123-20637,13,4,15.0
123-20637,14,4,15.0
